,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,city/state
6178,2021-03-25,shot,gun,26,M,Black,Calumet City,IL,False,other,Not fleeing,False,,,True,18-29,armed,gun,gun,1,3,2021,1,"Calumet City, IL"
6179,2021-03-25,shot,gun,31,M,None,Kansas City,MO,False,attack,Not fleeing,False,,,True,30-44,armed,gun,gun,1,3,2021,1,"Kansas City, MO"
6180,2021-03-26,shot,gun,32,M,White,St. Charles County,MO,True,attack,Not fleeing,False,-90.519,38.76,True,30-44,armed,gun,gun,1,3,2021,1,"St. Charles County, MO"
6181,2021-03-26,shot,undetermined,25,M,Black,Virginia Beach,VA,False,undetermined,Not fleeing,False,-75.977,36.847,True,18-29,undetermined,undetermined,undetermined,1,3,2021,1,"Virginia Beach, VA"
6182,2021-03-26,shot,gun,32,M,White,Weld County,CO,False,attack,Foot,False,-104.564,40.493,True,30-44,armed,gun,gun,1,3,2021,1,"Weld County, CO"
6183,2021-03-26,shot,gun,36,M,White,Quincy,MA,False,other,Car,False,-71.005,42.243,True,30-44,armed,gun,gun,1,3,2021,1,"Quincy, MA"
6184,2021-03-26,tasered and shot,knife,57,M,White,San Antonio,TX,False,other,Not fleeing,True,,,True,45-59,armed,other weapon,knife/cutting instrument,1,3,2021,1,"San Antonio, TX"
6185,2021-03-27,shot,knife,49,M,White,Hudson,FL,False,attack,Not fleeing,False,,,True,45-59,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Hudson, FL"
6186,2021-03-28,shot,knife,26,M,Hispanic,Lompoc,CA,False,other,Not fleeing,True,-120.458,34.639,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Lompoc, CA"
6187,2021-03-29,shot,gun,38,M,Black,Los Angeles,CA,False,other,Foot,False,-118.264,34.051,True,30-44,armed,gun,gun,1,3,2021,1,"Los Angeles, CA"
6188,2021-03-29,shot,undetermined,13,M,Hispanic,Chicago,IL,False,other,Foot,True,-87.708,41.85,True,Under 18,undetermined,undetermined,undetermined,1,3,2021,1,"Chicago, IL"
6189,2021-03-29,shot,gun,33,M,White,Corpus Christi,TX,False,attack,Foot,True,-97.407,27.711,True,30-44,armed,gun,gun,1,3,2021,1,"Corpus Christi, TX"
6190,2021-03-29,shot,undetermined,48,M,Black,Mason County,KY,False,attack,Foot,False,,,True,45-59,undetermined,undetermined,undetermined,1,3,2021,1,"Mason County, KY"
6191,2021-03-30,shot,gun,41,F,White,Lithia Springs,GA,False,attack,Not fleeing,False,-84.621,33.787,True,30-44,armed,gun,gun,1,3,2021,1,"Lithia Springs, GA"
6192,2021-03-30,shot,Taser,32,M,Black,Jacksonville,FL,False,attack,Not fleeing,True,-81.743,30.197,True,30-44,armed,other weapon,other weapon,1,3,2021,1,"Jacksonville, FL"
6193,2021-03-30,shot,vehicle,31,M,White,Bristol,VA,False,attack,Not fleeing,False,-82.211,36.596,True,30-44,armed,other weapon,other weapon,1,3,2021,1,"Bristol, VA"
6194,2021-03-31,shot,gun,40,M,White,Claremont,NH,True,attack,Not fleeing,False,-72.353,43.374,True,30-44,armed,gun,gun,1,3,2021,1,"Claremont, NH"
